Exercise,Climbing,Sweets,EatingOut,Coffee,Tea,Water,DayRating,HoursSleep,Sunny,Rain,Temperature,Weight,WeekSin,WeekCos,Label
0.0,0,0,3,4,0,0.7,0,8.0,1,0,18,,-0.9749279121818233,-0.222520933956316,
0.0,0,0,1,1,0,0.5,-1,4.0,1,0,16,,-0.7818314824680308,0.6234898018587323,
0.0,0,0,1,2,0,0.5,0,9.666666667000001,1,0,12,,-1.7145055188062944e-15,1.0,
0.0,0,0,3,2,0,1.2,-1,9.0,1,0,11,,0.7818314824680287,0.6234898018587349,
0.0,0,0,3,3,0,0.8,1,9.5,1,0,13,,0.974927912181824,-0.22252093395631267,
0.0,0,0,3,4,5,0.9,0,9.0,1,1,11,,0.4338837391175598,-0.9009688679024184,
0.0,0,0,3,3,1,1.0,0,8.0,1,0,12,,-0.43388373911755646,-0.9009688679024199,
0.0,0,0,1,1,1,0.7,0,4.0,1,0,-2,,-0.9749279121818232,-0.22252093395631625,75.5
0.0,1,0,1,3,2,2.1,0,11.5,1,0,-5,75.5,-0.781831482468031,0.623489801858732,74.7
45.0,0,0,0,5,2,1.5,0,6.166666667,1,0,-8,74.7,-1.959434878635765e-15,1.0,74.5
45.0,0,0,0,3,3,1.3,0,7.0,0,0,-8,74.5,0.7818314824680286,0.6234898018587351,74.7
45.0,1,0,1,3,3,2.7,0,7.5,1,0,-6,74.7,0.9749279121818241,-0.22252093395631242,74.5
45.0,0,0,1,3,0,3.2,0,7.0,-1,0,-3,74.5,0.43388373911755995,-0.9009688679024183,76.6
0.0,0,0,0,5,1,1.1,0,6.0,0,0,1,76.6,-0.43388373911755623,-0.90096886790242,74.7
0.0,0,0,0,5,2,1.3,0,7.0,0,0,5,74.7,-0.9749279121818232,-0.22252093395631647,74.9
0.0,0,0,0,4,1,1.5,-1,10.5,1,0,10,74.9,-0.7818314824680311,0.6234898018587318,74.5
45.0,1,0,1,4,1,1.8,0,6.0,0,0,10,74.5,-2.204364238465236e-15,1.0,74.8
45.0,0,0,0,5,1,1.3,0,7.0,-1,1,6,74.8,0.7818314824680284,0.6234898018587353,74.8
45.0,0,0,1,4,0,2.0,0,7.0,0,0,8,74.8,0.9749279121818241,-0.2225209339563122,74.7
45.0,0,0,0,4,0,1.4,0,7.0,1,0,11,74.7,0.4338837391175602,-0.9009688679024181,74.6
0.0,0,0,0,3,1,3.0,0,10.0,-1,0,13,74.6,-0.433883739117556,-0.9009688679024201,
0.0,1,0,2,4,0,3.6,0,9.166666667000001,-1,0,12,,-0.9749279121818231,-0.22252093395631672,
0.0,0,0,1,5,1,1.1,0,8.0,1,0,16,,-0.7818314824680312,0.6234898018587316,76.8
45.0,0,0,0,4,1,1.3,0,7.0,-1,1,11,76.8,-2.4492935982947065e-15,1.0,76.3
45.0,1,0,1,4,1,2.1,0,7.0,1,0,11,76.3,0.7818314824680282,0.6234898018587355,75.4
45.0,0,0,0,4,2,1.1,0,7.0,0,1,8,75.4,0.9749279121818242,-0.22252093395631195,75.8
35.0,0,0,0,4,1,1.7,0,7.5,1,0,13,75.8,0.43388373911756684,-0.9009688679024149,76.1
0.0,1,0,1,4,0,2.6,0,7.0,0,0,11,76.1,-0.4338837391175558,-0.9009688679024203,75.6
0.0,0,0,1,6,1,1.4,0,5.0,-1,1,5,75.6,-0.9749279121818246,-0.22252093395631004,75.8
0.0,0,0,0,4,1,1.1,0,8.5,-1,0,2,75.8,-0.7818314824680315,0.6234898018587315,76.1
45.0,0,0,1,5,1,1.3,0,7.0,-1,0,-1,76.1,-9.799650315725178e-15,1.0,75.4
45.0,1,0,1,4,1,2.3,0,6.5,0,0,2,75.4,0.7818314824680281,0.6234898018587357,75.2
45.0,0,0,0,6,0,1.3,-1,6.5,0,0,1,75.2,0.9749279121818226,-0.22252093395631864,74.7
40.0,1,0,1,5,0,1.8,0,7.5,0,0,4,74.7,0.4338837391175606,-0.9009688679024179,74.9
0.0,0,0,2,7,1,2.4,1,8.0,0,0,6,74.9,-0.4338837391175492,-0.9009688679024235,
0.0,0,1,3,2,1,1.1,1,7.75,0,0,7,,-0.974927912181823,-0.2225209339563172,
0.0,0,1,1,3,1,1.5,1,6.0,1,0,11,,-0.7818314824680273,0.6234898018587368,75.9
0.0,1,0,1,4,1,2.3,0,7.5,-1,0,8,75.9,-2.9391523179536475e-15,1.0,75.8
40.0,0,0,1,5,2,1.3,0,6.5,-1,1,8,75.8,0.7818314824680235,0.6234898018587414,75.7
45.0,0,0,1,5,1,1.3,0,7.0,0,1,11,75.7,0.9749279121818243,-0.22252093395631148,76.1
45.0,1,0,1,4,1,1.6,0,7.0,-1,0,8,76.1,0.43388373911755446,-0.9009688679024209,76.1
55.0,0,1,1,3,2,1.8,1,9.75,0,0,16,76.1,-0.43388373911755534,-0.9009688679024205,75.2
55.0,0,0,0,4,2,1.6,0,8.5,-1,1,9,75.2,-0.9749279121818213,-0.22252093395632436,75.2
0.0,1,1,1,3,1,2.6,0,9.5,0,1,7,75.2,-0.7818314824680318,0.623489801858731,75.7
55.0,0,1,0,3,3,1.4,1,8.083333332999999,1,0,14,75.7,3.921345679817883e-15,1.0,76.0
55.0,0,0,1,4,1,1.4,0,7.5,0,0,19,76.0,0.7818314824680278,0.623489801858736,75.2
